time,nuts,dmd,scenario,gcm,rcm,ensemble,model
2012-01-01,EL64,0.037679285518132724,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2013-01-01,EL64,0.35795070041211613,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2014-01-01,EL64,1.6230151329145959,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2015-01-01,EL64,1.5686009294635288,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2016-01-01,EL64,3.0555248255684604,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2017-01-01,EL64,2.9416413343574668,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2018-01-01,EL64,2.849952298808562,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2019-01-01,EL64,6.396822218118869,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2020-01-01,EL64,4.546144731953495,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2021-01-01,EL64,1.3972723524781991,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2022-01-01,EL64,0.7552906469997367,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2023-01-01,EL64,1.5846153491669712,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2024-01-01,EL64,0.8114784497613684,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2025-01-01,EL64,1.2652708052962067,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2026-01-01,EL64,1.0176614303107272,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2027-01-01,EL64,1.2630208330530592,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2028-01-01,EL64,1.5457427591929171,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2029-01-01,EL64,1.3218512213877005,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2030-01-01,EL64,4.204135439450184,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2031-01-01,EL64,0.2830544913777589,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2032-01-01,EL64,2.4185514411028968,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2033-01-01,EL64,4.13444745930241,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2034-01-01,EL64,2.002560603043006,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2035-01-01,EL64,1.6004144015888637,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2036-01-01,EL64,6.490882369281797,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2037-01-01,EL64,3.0007931363468887,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2038-01-01,EL64,5.464401899225279,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2039-01-01,EL64,3.2437339090736907,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2040-01-01,EL64,0.9061318344491665,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2041-01-01,EL64,0.13194257764794703,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2042-01-01,EL64,2.9436806258658628,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2043-01-01,EL64,1.1135027342833967,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2044-01-01,EL64,1.4348905176576034,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2045-01-01,EL64,0.7935595780073275,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2046-01-01,EL64,1.0025685190002753,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2047-01-01,EL64,4.451027901729468,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2048-01-01,EL64,8.340488105653023,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2049-01-01,EL64,1.3763934244603075,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2050-01-01,EL64,0.6031270920082984,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2051-01-01,EL64,2.5289474394579337,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2052-01-01,EL64,3.222789921470029,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2053-01-01,EL64,3.6231006884072,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2054-01-01,EL64,4.453987591831961,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2055-01-01,EL64,5.56379898871922,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2056-01-01,EL64,4.113627127107156,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2057-01-01,EL64,2.0204269977550444,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2058-01-01,EL64,2.9419030711674763,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2059-01-01,EL64,2.681637350005662,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2060-01-01,EL64,5.814302600494942,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2061-01-01,EL64,3.1100152389289817,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2062-01-01,EL64,2.453396510364454,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2063-01-01,EL64,5.771632253074326,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
